flake ID	camera ID	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	image name	frame timestamp
292	0	12.17.2020	21:00:50.609352	2020.12.17_21.00.50_flake_292_cam_0.png	0
292	1	12.17.2020	21:00:50.624952	2020.12.17_21.00.50_flake_292_cam_1.png	0
292	2	12.17.2020	21:00:50.640552	2020.12.17_21.00.50_flake_292_cam_2.png	0
293	2	12.17.2020	21:01:03.276574	2020.12.17_21.01.03_flake_293_cam_2.png	0
293	0	12.17.2020	21:01:03.245374	2020.12.17_21.01.03_flake_293_cam_0.png	0
293	1	12.17.2020	21:01:03.260974	2020.12.17_21.01.03_flake_293_cam_1.png	0
294	1	12.17.2020	21:01:37.861835	2020.12.17_21.01.37_flake_294_cam_1.png	0
294	0	12.17.2020	21:01:37.846235	2020.12.17_21.01.37_flake_294_cam_0.png	0
294	2	12.17.2020	21:01:37.861835	2020.12.17_21.01.37_flake_294_cam_2.png	0
295	2	12.17.2020	21:02:36.876739	2020.12.17_21.02.36_flake_295_cam_2.png	0
295	1	12.17.2020	21:02:36.861139	2020.12.17_21.02.36_flake_295_cam_1.png	0
295	0	12.17.2020	21:02:36.861139	2020.12.17_21.02.36_flake_295_cam_0.png	0
296	0	12.17.2020	21:03:09.231196	2020.12.17_21.03.09_flake_296_cam_0.png	0
296	2	12.17.2020	21:03:09.246796	2020.12.17_21.03.09_flake_296_cam_2.png	0
296	1	12.17.2020	21:03:09.246796	2020.12.17_21.03.09_flake_296_cam_1.png	0
297	2	12.17.2020	21:03:15.190406	2020.12.17_21.03.15_flake_297_cam_2.png	0
297	1	12.17.2020	21:03:15.174806	2020.12.17_21.03.15_flake_297_cam_1.png	0
297	0	12.17.2020	21:03:15.159206	2020.12.17_21.03.15_flake_297_cam_0.png	0
298	0	12.17.2020	21:07:22.778441	2020.12.17_21.07.22_flake_298_cam_0.png	0
298	1	12.17.2020	21:07:22.778441	2020.12.17_21.07.22_flake_298_cam_1.png	0
298	2	12.17.2020	21:07:22.794041	2020.12.17_21.07.22_flake_298_cam_2.png	0
