snowflake id	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	fall speed (m/s)
11351	01.02.2021	12:09:16.679832	0.601998
11352	01.02.2021	12:11:19.124447	0.169439
11353	01.02.2021	12:11:38.109680	0.16189
11354	01.02.2021	12:11:43.398090	0.11706
11355	01.02.2021	12:12:09.824536	0.0388792
11356	01.02.2021	12:12:14.192544	0.855801
11357	01.02.2021	12:12:39.464588	0.0697676
11358	01.02.2021	12:13:01.055026	1.68812
11359	01.02.2021	12:13:13.862648	1.23163
11360	01.02.2021	12:13:21.600262	0.0505653
11361	01.02.2021	12:13:27.575073	0.103389
11362	01.02.2021	12:13:39.103493	0.184362
11363	01.02.2021	12:13:41.193896	0.0375124
11364	01.02.2021	12:13:54.375920	0.602304
11365	01.02.2021	12:14:42.533204	0.169771
11366	01.02.2021	12:16:14.744966	0.791194
11367	01.02.2021	12:16:29.362192	0.0430402
11368	01.02.2021	12:16:54.337836	0.358252
11369	01.02.2021	12:17:13.822270	0.0337614
11370	01.02.2021	12:17:34.008705	0.746872
11371	01.02.2021	12:17:59.545950	0.195799
11372	01.02.2021	12:20:18.635795	0.0570692
11373	01.02.2021	12:22:09.785990	0.0759686
11374	01.02.2021	12:22:24.808816	0.476572
11375	01.02.2021	12:22:28.521623	0.662393
11376	01.02.2021	12:22:39.457242	0.119376
11377	01.02.2021	12:22:57.100873	0.374028
11378	01.02.2021	12:23:07.630891	0.349488
11379	01.02.2021	12:23:09.175294	0.0648794
11380	01.02.2021	12:23:14.650904	1.18108
11381	01.02.2021	12:23:19.705313	7.0546
11382	01.02.2021	12:23:39.486147	0.116445
11383	01.02.2021	12:23:45.835358	0.144291
11384	01.02.2021	12:26:47.840878	0.0333388
11385	01.02.2021	12:27:01.366102	0.719718
11386	01.02.2021	12:27:02.801304	0.250918
11387	01.02.2021	12:27:23.736541	0.175133
11388	01.02.2021	12:27:26.310546	0.257588
11389	01.02.2021	12:27:49.679387	0.165312
11390	01.02.2021	12:28:04.312212	0.0854061
11391	01.02.2021	12:28:17.338235	0.470417
11392	01.02.2021	12:28:22.657845	1.27729
11393	01.02.2021	12:31:13.150544	0.159112
11394	01.02.2021	12:31:47.938605	0.773144
11395	01.02.2021	12:32:48.872312	0.924904
11396	01.02.2021	12:33:25.516777	0.725014
11397	01.02.2021	12:35:05.637752	0.0773263
11398	01.02.2021	12:35:31.923799	0.905277
11399	01.02.2021	12:44:21.263928	0.428433
11400	01.02.2021	12:45:25.114841	0.680655
