flake ID	camera ID	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	image name	frame timestamp
11431	2	01.03.2021	09:30:53.707694	2021.01.03_09.30.53_flake_11431_cam_2.png	0
11431	1	01.03.2021	09:30:53.629694	2021.01.03_09.30.53_flake_11431_cam_1.png	0
11431	0	01.03.2021	09:30:53.551694	2021.01.03_09.30.53_flake_11431_cam_0.png	0
11432	1	01.03.2021	09:43:50.807459	2021.01.03_09.43.50_flake_11432_cam_1.png	0
11432	0	01.03.2021	09:43:50.698259	2021.01.03_09.43.50_flake_11432_cam_0.png	0
11432	2	01.03.2021	09:43:50.885459	2021.01.03_09.43.50_flake_11432_cam_2.png	0
11433	1	01.03.2021	09:56:04.523548	2021.01.03_09.56.04_flake_11433_cam_1.png	0
11433	0	01.03.2021	09:56:04.429948	2021.01.03_09.56.04_flake_11433_cam_0.png	0
11433	2	01.03.2021	09:56:04.601548	2021.01.03_09.56.04_flake_11433_cam_2.png	0
11434	0	01.03.2021	09:56:05.085149	2021.01.03_09.56.05_flake_11434_cam_0.png	0
11434	1	01.03.2021	09:56:05.178749	2021.01.03_09.56.05_flake_11434_cam_1.png	0
11434	2	01.03.2021	09:56:05.256749	2021.01.03_09.56.05_flake_11434_cam_2.png	0
11435	1	01.03.2021	09:56:05.599950	2021.01.03_09.56.05_flake_11435_cam_1.png	0
11435	0	01.03.2021	09:56:05.537550	2021.01.03_09.56.05_flake_11435_cam_0.png	0
11435	2	01.03.2021	09:56:05.662350	2021.01.03_09.56.05_flake_11435_cam_2.png	0
11436	1	01.03.2021	09:56:06.473551	2021.01.03_09.56.06_flake_11436_cam_1.png	0
11436	0	01.03.2021	09:56:06.395551	2021.01.03_09.56.06_flake_11436_cam_0.png	0
11436	2	01.03.2021	09:56:06.567152	2021.01.03_09.56.06_flake_11436_cam_2.png	0
11437	0	01.03.2021	09:56:06.925952	2021.01.03_09.56.06_flake_11437_cam_0.png	0
11437	1	01.03.2021	09:56:06.988352	2021.01.03_09.56.06_flake_11437_cam_1.png	0
11437	2	01.03.2021	09:56:07.050752	2021.01.03_09.56.07_flake_11437_cam_2.png	0
