snowflake id	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	fall speed (m/s)
33	12.17.2020	10:02:34.800636	6.08944
34	12.17.2020	10:03:32.115136	2.11755
35	12.17.2020	10:04:13.923210	3.93829
36	12.17.2020	10:05:08.976707	6.07109
37	12.17.2020	10:05:33.827550	5.25324
38	12.17.2020	10:08:27.653277	5.53759
39	12.17.2020	10:12:28.470899	0.0887143
40	12.17.2020	10:12:30.467703	4.3285
41	12.17.2020	10:12:35.896513	0.0970937
42	12.17.2020	10:12:49.562137	3.908
43	12.17.2020	10:12:53.618144	1.35518
44	12.17.2020	10:13:00.778556	5.61592
45	12.17.2020	10:13:11.698575	4.6272
46	12.17.2020	10:14:02.289464	3.3055
47	12.17.2020	10:18:32.622339	1.60552
48	12.17.2020	10:18:34.291542	3.24915
49	12.17.2020	10:18:39.548751	0.0954029
50	12.17.2020	10:18:49.626369	1.7394
51	12.17.2020	10:18:53.510776	0.12944
52	12.17.2020	10:18:57.395183	1.04047
53	12.17.2020	10:18:58.705585	3.85711
54	12.17.2020	10:19:00.359188	0.430359
55	12.17.2020	10:19:08.720802	5.27919
56	12.17.2020	10:19:11.435207	0.583758
57	12.17.2020	10:19:17.051217	1.27676
58	12.17.2020	10:19:20.077622	1.74386
59	12.17.2020	10:19:21.388025	3.21898
60	12.17.2020	10:19:22.355226	1.49388
61	12.17.2020	10:19:25.896433	0.148457
62	12.17.2020	10:19:27.206835	0.135156
63	12.17.2020	10:19:28.174037	1.08605
64	12.17.2020	10:19:34.632448	2.84387
65	12.17.2020	10:19:36.629251	6.73733
66	12.17.2020	10:19:43.602464	4.50147
67	12.17.2020	10:19:44.398065	0.102531
68	12.17.2020	10:19:46.566469	4.83277
69	12.17.2020	10:19:48.734873	0.986915
70	12.17.2020	10:19:50.388476	2.55626
71	12.17.2020	10:20:01.136895	5.3931
72	12.17.2020	10:20:09.139709	0.124104
73	12.17.2020	10:20:11.308112	3.42986
74	12.17.2020	10:20:34.942154	0.128936
75	12.17.2020	10:20:36.798557	1.15937
76	12.17.2020	10:20:42.055766	2.35017
77	12.17.2020	10:20:42.679768	3.68501
78	12.17.2020	10:20:45.877773	2.53681
79	12.17.2020	10:20:48.732578	0.555101
80	12.17.2020	10:20:50.557781	1.32424
81	12.17.2020	10:20:53.069386	2.5553
82	12.17.2020	10:20:55.580990	0.0862233
83	12.17.2020	10:20:58.950596	0.515965
84	12.17.2020	10:21:06.984610	0.34124
85	12.17.2020	10:21:09.012614	1.0497
86	12.17.2020	10:21:13.599022	1.34758
87	12.17.2020	10:21:14.753424	1.29285
88	12.17.2020	10:21:29.448650	3.96288
89	12.17.2020	10:21:52.895491	0.881031
90	12.17.2020	10:21:54.205893	0.189516
91	12.17.2020	10:21:55.344695	3.37562
92	12.17.2020	10:21:56.826698	4.39003
93	12.17.2020	10:22:06.935515	1.86674
94	12.17.2020	10:22:26.950351	0.255293
95	12.17.2020	10:23:28.118058	3.39687
96	12.17.2020	10:27:46.797712	1.4741
97	12.17.2020	10:27:48.622916	0.679095
98	12.17.2020	10:27:49.418517	3.93563
99	12.17.2020	10:27:50.728919	0.182307
100	12.17.2020	10:27:53.240524	3.97783
101	12.17.2020	10:27:54.036125	1.42389
102	12.17.2020	10:27:55.190527	1.67612
103	12.17.2020	10:27:55.986129	2.18567
104	12.17.2020	10:27:59.886135	1.4579
105	12.17.2020	10:28:00.510137	1.8432
106	12.17.2020	10:28:01.524138	1.59936
107	12.17.2020	10:28:03.037341	0.690847
108	12.17.2020	10:28:03.489742	4.31457
109	12.17.2020	10:28:06.016946	1.74324
110	12.17.2020	10:28:07.327348	4.87027
111	12.17.2020	10:28:08.466150	1.63561
112	12.17.2020	10:28:11.320956	3.32805
113	12.17.2020	10:28:16.921365	0.273047
114	12.17.2020	10:28:22.381375	4.04506
115	12.17.2020	10:28:26.437382	0.938376
116	12.17.2020	10:28:28.090985	0.0550282
117	12.17.2020	10:28:30.290589	3.08786
118	12.17.2020	10:28:34.736597	0.198676
119	12.17.2020	10:28:35.547798	1.32473
120	12.17.2020	10:28:36.702200	0.205119
121	12.17.2020	10:28:46.764218	2.72733
122	12.17.2020	10:28:51.335026	1.51461
123	12.17.2020	10:28:52.645428	0.0995058
124	12.17.2020	10:28:54.579831	0.195427
125	12.17.2020	10:28:55.890234	1.74238
126	12.17.2020	10:29:03.893048	1.21741
127	12.17.2020	10:29:14.813067	2.45582
128	12.17.2020	10:29:19.243475	0.0753681
129	12.17.2020	10:29:43.563918	4.28425
130	12.17.2020	10:29:44.749520	0.177206
131	12.17.2020	10:29:48.477926	1.80774
132	12.17.2020	10:30:11.253966	0.124378
