snowflake id	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	fall speed (m/s)
11404	01.02.2021	15:08:36.970331	0.472367
11405	01.02.2021	15:08:40.885938	0.0878695
11406	01.02.2021	15:08:47.874751	1.51379
11407	01.02.2021	15:08:54.317562	1.92972
11408	01.02.2021	15:09:00.027172	0.177664
11409	01.02.2021	15:09:12.507194	0.165112
11410	01.02.2021	15:09:40.212842	0.114278
11411	01.02.2021	15:13:10.672812	0.0501882
11412	01.02.2021	15:13:26.491240	0.621616
11413	01.02.2021	15:15:05.691814	0.0369467
11414	01.02.2021	15:22:40.401413	0.151388
11415	01.02.2021	15:22:54.129437	0.06516
11416	01.02.2021	15:25:14.732484	1.11897
11417	01.02.2021	15:25:31.736514	0.697894
11418	01.02.2021	15:25:51.985349	0.0544641
11419	01.02.2021	15:59:56.743341	0.146616
11420	01.02.2021	15:59:59.629346	1.51382
