snowflake id	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	fall speed (m/s)
163	12.17.2020	14:48:54.633586	7.10193
164	12.17.2020	14:54:10.690141	3.25089
165	12.17.2020	14:54:26.258968	5.38149
166	12.17.2020	14:54:46.804204	3.51959
167	12.17.2020	14:55:24.369070	4.40315
168	12.17.2020	14:55:34.431088	4.90628
169	12.17.2020	14:56:06.286344	4.22669
170	12.17.2020	14:57:15.924866	3.08429
171	12.17.2020	14:57:27.718487	2.74201
172	12.17.2020	14:58:08.855759	5.68554
173	12.17.2020	14:58:36.967009	4.53222
174	12.17.2020	14:58:44.985423	4.95563
