snowflake id	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	fall speed (m/s)
4	12.17.2020	09:13:43.327681	5.4103
5	12.17.2020	09:14:16.279566	4.44161
6	12.17.2020	09:14:23.616986	3.46942
7	12.17.2020	09:14:51.618587	7.31718
8	12.17.2020	09:15:05.109359	0.39345
9	12.17.2020	09:15:17.527069	4.7072
10	12.17.2020	09:16:03.846719	1.37954
11	12.17.2020	09:16:05.451810	5.50341
12	12.17.2020	09:16:06.152851	6.36729
14	12.17.2020	09:17:21.547163	1.22698
15	12.17.2020	09:17:27.497503	4.41474
16	12.17.2020	09:17:39.298178	5.2607
17	12.17.2020	09:17:41.979331	0.0560787
18	12.17.2020	09:17:42.990389	0.10429
19	12.17.2020	09:17:48.957731	0.582129
20	12.17.2020	09:18:13.086111	0.364647
21	12.17.2020	09:18:22.829668	5.06992
22	12.17.2020	09:18:37.495507	1.15264
23	12.17.2020	09:19:56.382019	4.06142
24	12.17.2020	09:20:08.214696	3.51751
25	12.17.2020	09:21:21.242873	4.86191
26	12.17.2020	09:21:37.285790	0.108075
27	12.17.2020	09:21:54.968802	1.26326
28	12.17.2020	09:31:59.577383	0.096317
29	12.17.2020	09:32:42.153819	8.79033
30	12.17.2020	09:35:06.187057	2.56249
31	12.17.2020	09:35:45.621312	2.45127
32	12.17.2020	09:35:47.079396	1.29743
