snowflake id	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	fall speed (m/s)
11460	01.03.2021	13:01:24.878280	1.15403
11461	01.03.2021	13:15:09.292928	1.15403
11462	01.03.2021	13:21:07.422757	1.15403
11463	01.03.2021	13:32:47.817187	1.15403
11464	01.03.2021	13:33:04.119216	1.15403
11465	01.03.2021	13:45:55.852571	1.15403
11466	01.03.2021	13:47:37.720750	1.15403
11467	01.03.2021	13:48:04.459197	1.15403
11468	01.03.2021	13:48:13.179612	1.15403
11469	01.03.2021	13:49:02.226099	1.15403
11470	01.03.2021	13:49:14.472120	1.15403
11471	01.03.2021	13:49:20.244130	1.15403
11472	01.03.2021	13:49:31.538550	1.15403
11473	01.03.2021	13:49:57.403395	1.15403
11474	01.03.2021	13:49:58.386197	1.15403
11475	01.03.2021	13:50:14.703826	1.15403
11476	01.03.2021	13:50:39.289469	1.15403
11477	01.03.2021	13:50:54.936296	1.15403
11478	01.03.2021	13:51:03.500712	1.15403
11479	01.03.2021	13:51:13.359929	1.15403
11480	01.03.2021	13:51:47.274388	1.15403
11481	01.03.2021	13:51:53.888800	1.15403
11482	01.03.2021	13:52:09.410827	1.15403
11483	01.03.2021	13:52:12.312432	1.15403
11484	01.03.2021	13:53:42.542991	1.15403
11485	01.03.2021	13:53:49.282203	1.15403
11486	01.03.2021	13:53:53.977811	1.15403
11487	01.03.2021	13:54:50.153510	1.15403
11488	01.03.2021	13:55:12.180748	1.15403
11489	01.03.2021	13:55:42.039201	1.15403
11490	01.03.2021	13:56:24.299675	1.15403
11491	01.03.2021	13:56:31.116887	1.15403
11492	01.03.2021	13:56:44.860511	1.15403
11493	01.03.2021	13:56:56.061331	1.15403
11494	01.03.2021	13:57:14.562963	1.15403
11495	01.03.2021	13:58:03.047848	1.15403
11496	01.03.2021	13:58:12.376665	1.15403
11497	01.03.2021	13:58:14.981869	1.15403
11498	01.03.2021	13:58:43.311519	1.15403
11499	01.03.2021	13:58:46.525125	1.15403
11500	01.03.2021	13:58:50.596732	1.15403
11501	01.03.2021	13:59:01.703951	1.15403
11502	01.03.2021	13:59:12.811171	1.15403
11503	01.03.2021	13:59:16.773578	1.15403
11504	01.03.2021	13:59:17.959180	1.15403
11505	01.03.2021	13:59:27.615597	1.15403
11506	01.03.2021	13:59:35.509211	1.15403
11507	01.03.2021	13:59:38.145615	1.15403
11508	01.03.2021	13:59:51.967240	1.15403
