flake ID	camera ID	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	image name	frame timestamp
175	1	12.17.2020	17:06:46.812285	2020.12.17_17.06.46_flake_175_cam_1.png	0
175	2	12.17.2020	17:06:46.827885	2020.12.17_17.06.46_flake_175_cam_2.png	0
175	0	12.17.2020	17:06:46.796685	2020.12.17_17.06.46_flake_175_cam_0.png	0
176	0	12.17.2020	17:07:03.519914	2020.12.17_17.07.03_flake_176_cam_0.png	0
176	1	12.17.2020	17:07:03.535514	2020.12.17_17.07.03_flake_176_cam_1.png	0
176	2	12.17.2020	17:07:03.551114	2020.12.17_17.07.03_flake_176_cam_2.png	0
177	0	12.17.2020	17:09:49.036205	2020.12.17_17.09.49_flake_177_cam_0.png	0
177	1	12.17.2020	17:09:49.051805	2020.12.17_17.09.49_flake_177_cam_1.png	0
177	2	12.17.2020	17:09:49.067405	2020.12.17_17.09.49_flake_177_cam_2.png	0
178	1	12.17.2020	17:51:49.095831	2020.12.17_17.51.49_flake_178_cam_1.png	0
178	0	12.17.2020	17:51:49.080231	2020.12.17_17.51.49_flake_178_cam_0.png	0
178	2	12.17.2020	17:51:49.095831	2020.12.17_17.51.49_flake_178_cam_2.png	0
