flake ID	camera ID	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	image name	frame timestamp
2809	0	12.22.2020	13:00:06.204812	2020.12.22_13.00.06_flake_2809_cam_0.png	0
2810	0	12.22.2020	13:00:08.669616	2020.12.22_13.00.08_flake_2810_cam_0.png	0
2810	1	12.22.2020	13:00:08.716416	2020.12.22_13.00.08_flake_2810_cam_1.png	0
2811	0	12.22.2020	13:00:26.765648	2020.12.22_13.00.26_flake_2811_cam_0.png	0
2811	1	12.22.2020	13:00:26.812448	2020.12.22_13.00.26_flake_2811_cam_1.png	0
2811	2	12.22.2020	13:00:26.921648	2020.12.22_13.00.26_flake_2811_cam_2.png	0
2814	0	12.22.2020	13:00:39.417270	2020.12.22_13.00.39_flake_2814_cam_0.png	0
2814	1	12.22.2020	13:00:39.479670	2020.12.22_13.00.39_flake_2814_cam_1.png	0
2814	2	12.22.2020	13:00:39.588871	2020.12.22_13.00.39_flake_2814_cam_2.png	0
2815	0	12.22.2020	13:01:05.718916	2020.12.22_13.01.05_flake_2815_cam_0.png	0
2815	1	12.22.2020	13:01:05.796917	2020.12.22_13.01.05_flake_2815_cam_1.png	0
2815	2	12.22.2020	13:01:05.906117	2020.12.22_13.01.05_flake_2815_cam_2.png	0
2818	0	12.22.2020	13:02:08.696227	2020.12.22_13.02.08_flake_2818_cam_0.png	0
2818	1	12.22.2020	13:02:08.774227	2020.12.22_13.02.08_flake_2818_cam_1.png	0
2818	2	12.22.2020	13:02:08.867827	2020.12.22_13.02.08_flake_2818_cam_2.png	0
2819	0	12.22.2020	13:02:47.150295	2020.12.22_13.02.47_flake_2819_cam_0.png	0
2820	0	12.22.2020	13:02:51.128302	2020.12.22_13.02.51_flake_2820_cam_0.png	0
2819	1	12.22.2020	13:02:47.290695	2020.12.22_13.02.47_flake_2819_cam_1.png	0
2819	2	12.22.2020	13:02:47.477895	2020.12.22_13.02.47_flake_2819_cam_2.png	0
2821	0	12.22.2020	13:02:59.770717	2020.12.22_13.02.59_flake_2821_cam_0.png	0
2820	1	12.22.2020	13:02:51.221902	2020.12.22_13.02.51_flake_2820_cam_1.png	0
2820	2	12.22.2020	13:02:51.362302	2020.12.22_13.02.51_flake_2820_cam_2.png	0
2821	1	12.22.2020	13:02:59.817517	2020.12.22_13.02.59_flake_2821_cam_1.png	0
2822	0	12.22.2020	13:03:01.861120	2020.12.22_13.03.01_flake_2822_cam_0.png	0
2822	1	12.22.2020	13:03:01.907921	2020.12.22_13.03.01_flake_2822_cam_1.png	0
2821	2	12.22.2020	13:02:59.864317	2020.12.22_13.02.59_flake_2821_cam_2.png	0
2822	2	12.22.2020	13:03:01.970321	2020.12.22_13.03.01_flake_2822_cam_2.png	0
2823	0	12.22.2020	13:03:39.925187	2020.12.22_13.03.39_flake_2823_cam_0.png	0
2823	1	12.22.2020	13:03:39.956387	2020.12.22_13.03.39_flake_2823_cam_1.png	0
2823	2	12.22.2020	13:03:40.081188	2020.12.22_13.03.40_flake_2823_cam_2.png	0
2824	0	12.22.2020	13:04:21.577261	2020.12.22_13.04.21_flake_2824_cam_0.png	0
2824	1	12.22.2020	13:04:21.624061	2020.12.22_13.04.21_flake_2824_cam_1.png	0
2824	2	12.22.2020	13:04:21.733261	2020.12.22_13.04.21_flake_2824_cam_2.png	0
2825	1	12.22.2020	13:04:47.785307	2020.12.22_13.04.47_flake_2825_cam_1.png	0
2825	0	12.22.2020	13:04:47.754106	2020.12.22_13.04.47_flake_2825_cam_0.png	0
2825	2	12.22.2020	13:04:47.878907	2020.12.22_13.04.47_flake_2825_cam_2.png	0
2826	0	12.22.2020	13:05:14.430153	2020.12.22_13.05.14_flake_2826_cam_0.png	0
2826	1	12.22.2020	13:05:14.492553	2020.12.22_13.05.14_flake_2826_cam_1.png	0
2826	2	12.22.2020	13:05:14.648554	2020.12.22_13.05.14_flake_2826_cam_2.png	0
2827	0	12.22.2020	13:05:17.971360	2020.12.22_13.05.17_flake_2827_cam_0.png	0
2827	1	12.22.2020	13:05:18.064960	2020.12.22_13.05.18_flake_2827_cam_1.png	0
2827	2	12.22.2020	13:05:18.174160	2020.12.22_13.05.18_flake_2827_cam_2.png	0
