Time	TimeStamp	ERR_CR	MCR_DISCNCT	MCR_WAIT	MCR_PWR	MCR_BRWN	MCR_SFTWR	MCR_EXTR	MCR_WTCHDG	BUS_RST	IMG_QFULL	IMG_BADFARME	FS_QFULL	Cam 0 (08:14:43:65:00:01:00:28:00:00:00:00:00:00:00:00) detected	errors	Cam 1 (08:14:43:65:00:01:00:27:00:00:00:00:00:00:00:00) detected	errors	Cam 2 (08:14:43:65:00:01:00:29:00:00:00:00:00:00:00:00) detected	errors	
"2021/01/03, 07:01:19.043131"	132541308790431312	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:02:40.444074"	132541309604440741	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:04:01.845017"	132541310418450171	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:05:23.277160"	132541311232771601	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:06:44.334903"	132541312043349025	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:08:05.377045"	132541312853770449	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:09:26.559588"	132541313665595875	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:10:47.617330"	132541314476173298	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:12:09.065073"	132541315290650729	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:13:30.450416"	132541316104504158	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:14:51.882559"	132541316918825588	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:16:13.236702"	132541317732367017	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:17:34.122844"	132541318541228438	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:18:55.102586"	132541319351025860	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:20:16.534729"	132541320165347291	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:21:37.639272"	132541320976392715	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:22:59.024615"	132541321790246145	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:24:20.456758"	132541322604567575	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:25:41.842100"	132541323418421004	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:27:02.837443"	132541324228374427	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:28:23.832785"	132541325038327850	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:29:44.843727"	132541325848437273	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:31:06.026270"	132541326660262698	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:32:27.380413"	132541327473804127	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:33:48.765756"	132541328287657557	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:35:10.151099"	132541329101510986	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:36:31.349241"	132541329913492412	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:37:52.422584"	132541330724225836	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:39:13.417926"	132541331534179259	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:40:34.428868"	132541332344288682	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:41:55.689411"	132541333156894109	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:43:17.090354"	132541333970903539	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:44:38.382097"	132541334783820967	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2021/01/03, 07:45:59.705040"	132541335597050395	_	_	X	_	_	_	_	_	0	4156	1284	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
