Time	TimeStamp	ERR_CR	MCR_DISCNCT	MCR_WAIT	MCR_PWR	MCR_BRWN	MCR_SFTWR	MCR_EXTR	MCR_WTCHDG	BUS_RST	IMG_QFULL	IMG_BADFARME	FS_QFULL	Cam 0 (08:14:43:65:00:01:00:28:00:00:00:00:00:00:00:00) detected	errors	Cam 1 (08:14:43:65:00:01:00:27:00:00:00:00:00:00:00:00) detected	errors	Cam 2 (08:14:43:65:00:01:00:29:00:00:00:00:00:00:00:00) detected	errors	
"2020/12/22, 02:00:22.695287"	132530760226952872	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:01:22.614992"	132530760826149924	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:02:22.472298"	132530761424722975	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:03:22.314003"	132530762023140026	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:04:21.999708"	132530762619997075	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:05:21.872613"	132530763218726126	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:06:21.745518"	132530763817455178	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:07:21.634023"	132530764416340230	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:08:21.382128"	132530765013821279	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:09:21.208233"	132530765612082330	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:10:21.096738"	132530766210967382	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:11:20.813643"	132530766808136431	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:12:20.639748"	132530767406397482	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:13:20.481453"	132530768004814533	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:14:20.354358"	132530768603543584	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:15:20.242864"	132530769202428636	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:16:20.100169"	132530769801001688	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:17:19.785874"	132530770397858736	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:18:19.674379"	132530770996743788	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:19:19.531684"	132530771595316839	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:20:19.248589"	132530772192485888	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:21:19.105894"	132530772791058939	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:22:18.978799"	132530773389787991	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/22, 02:23:18.836104"	132530773988361042	_	_	_	_	_	_	_	_	0	201	263	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
