snowflake id	date (mm.dd.yyyy)	time (hh:mm:ss.mmmmmm)	fall speed (m/s)
385	12.20.2020	10:00:25.207304	1.82249
386	12.20.2020	10:01:50.820255	1.18252
387	12.20.2020	10:08:55.827401	4.66585
388	12.20.2020	10:09:03.268614	5.63986
389	12.20.2020	10:09:11.333828	0.847602
390	12.20.2020	10:10:09.740331	6.38307
391	12.20.2020	10:10:28.070363	5.11315
392	12.20.2020	10:13:43.164306	0.0430089
393	12.20.2020	10:14:52.506428	0.101749
394	12.20.2020	10:15:09.604058	0.101819
395	12.20.2020	10:15:50.975330	6.44005
396	12.20.2020	10:15:59.773746	4.41175
397	12.20.2020	10:16:25.388991	6.06132
398	12.20.2020	10:16:40.053016	6.2383
399	12.20.2020	10:17:01.159854	1.94125
400	12.20.2020	10:17:30.441105	1.96579
401	12.20.2020	10:17:40.503123	4.39766
402	12.20.2020	10:17:51.625942	6.46592
403	12.20.2020	10:18:39.830027	0.122777
404	12.20.2020	10:18:43.542833	0.0353744
405	12.20.2020	10:18:54.681253	0.240052
406	12.20.2020	10:18:56.256856	3.24303
407	12.20.2020	10:19:20.202898	0.167496
408	12.20.2020	10:19:39.312931	4.37935
409	12.20.2020	10:19:42.698137	0.270124
410	12.20.2020	10:19:46.754144	0.0735648
411	12.20.2020	10:21:52.833566	0.13223
412	12.20.2020	10:22:28.198828	0.0334224
413	12.20.2020	10:22:30.148831	4.52579
414	12.20.2020	10:23:11.488904	0.406659
415	12.20.2020	10:23:57.930186	6.31273
416	12.20.2020	10:24:20.721826	0.0419062
417	12.20.2020	10:27:16.518534	0.154079
418	12.20.2020	10:27:25.925351	0.0954154
419	12.20.2020	10:28:19.963846	6.42111
420	12.20.2020	10:28:38.137878	4.67823
421	12.20.2020	10:29:29.742768	4.18376
422	12.20.2020	10:29:33.283975	6.27632
423	12.20.2020	10:30:12.689644	2.25628
424	12.20.2020	10:30:35.450084	6.66605
425	12.20.2020	10:31:02.859332	4.45568
426	12.20.2020	10:31:10.799746	0.598701
427	12.20.2020	10:31:15.869755	0.486477
428	12.20.2020	10:31:55.509424	0.280822
429	12.20.2020	10:32:19.564667	47.4714
430	12.20.2020	10:32:45.694713	3.40636
431	12.20.2020	10:32:59.438337	6.79047
432	12.20.2020	10:33:00.857939	0.058427
433	12.20.2020	10:33:03.260343	0.557272
434	12.20.2020	10:33:31.699193	0.0920825
435	12.20.2020	10:34:04.225250	6.95475
436	12.20.2020	10:34:12.914466	3.97738
437	12.20.2020	10:34:43.365719	0.0574833
438	12.20.2020	10:34:57.124943	4.96217
439	12.20.2020	10:35:04.020156	0.131474
440	12.20.2020	10:35:43.301024	0.0490756
441	12.20.2020	10:36:27.683102	1.18413
442	12.20.2020	10:37:56.353658	1.30017
443	12.20.2020	10:38:28.162114	0.0583174
444	12.20.2020	10:38:45.212944	0.312308
445	12.20.2020	10:40:21.496313	0.831841
446	12.20.2020	10:41:27.453229	0.0393216
447	12.20.2020	10:42:15.142513	0.035321
448	12.20.2020	10:44:55.058394	1.37032
449	12.20.2020	10:45:30.673256	5.77986
450	12.20.2020	10:48:18.779151	0.055605
451	12.20.2020	10:48:23.349959	2.77751
452	12.20.2020	10:48:56.765218	0.982592
453	12.20.2020	10:48:58.964822	5.8422
454	12.20.2020	10:49:08.231238	11.6434
455	12.20.2020	10:49:30.086877	1.09552
456	12.20.2020	10:49:43.627700	1.09402
457	12.20.2020	10:50:15.826157	4.62578
458	12.20.2020	10:50:33.126587	5.495
459	12.20.2020	10:50:35.466591	0.0784598
460	12.20.2020	10:50:43.500606	0.300072
461	12.20.2020	10:51:06.573046	6.40678
462	12.20.2020	10:51:11.767855	2.11238
463	12.20.2020	10:51:23.545876	5.09153
464	12.20.2020	10:51:31.392690	0.118619
465	12.20.2020	10:51:34.403495	1.33176
466	12.20.2020	10:51:36.696699	0.0403115
467	12.20.2020	10:51:49.941122	5.2814
468	12.20.2020	10:52:02.748745	5.24545
469	12.20.2020	10:52:15.899568	0.317269
470	12.20.2020	10:52:20.688776	1.1452
471	12.20.2020	10:52:35.212402	0.183811
472	12.20.2020	10:52:43.761217	1.08389
473	12.20.2020	10:52:45.758020	0.17306
474	12.20.2020	10:53:01.217647	0.226475
475	12.20.2020	10:53:20.702082	1.13781
476	12.20.2020	10:53:28.205695	0.0680569
477	12.20.2020	10:53:34.352106	1.67429
478	12.20.2020	10:53:45.022524	0.0626201
479	12.20.2020	10:53:47.331328	0.278611
480	12.20.2020	10:54:09.171367	0.77624
481	12.20.2020	10:54:15.894979	0.0691103
482	12.20.2020	10:54:24.646594	0.0408974
483	12.20.2020	10:54:29.981803	0.0407659
484	12.20.2020	10:55:06.173867	5.56411
485	12.20.2020	10:55:48.777542	2.83475
486	12.20.2020	10:57:02.019670	0.238951
487	12.20.2020	10:57:10.958486	0.298124
488	12.20.2020	10:57:17.931698	0.0589133
489	12.20.2020	10:57:21.535305	4.95771
490	12.20.2020	10:57:27.915716	0.204577
491	12.20.2020	10:57:50.800956	0.0709566
492	12.20.2020	10:58:11.018592	0.0802804
493	12.20.2020	10:58:42.312247	3.92695
494	12.20.2020	10:59:18.083109	4.16266
495	12.20.2020	10:59:42.138352	0.0447588
496	12.20.2020	10:59:46.272359	1.69204
497	12.20.2020	10:59:53.978772	0.0534188
