Time	TimeStamp	ERR_CR	MCR_DISCNCT	MCR_WAIT	MCR_PWR	MCR_BRWN	MCR_SFTWR	MCR_EXTR	MCR_WTCHDG	BUS_RST	IMG_QFULL	IMG_BADFARME	FS_QFULL	Cam 0 (08:14:43:65:00:01:00:28:00:00:00:00:00:00:00:00) detected	errors	Cam 1 (08:14:43:65:00:01:00:27:00:00:00:00:00:00:00:00) detected	errors	Cam 2 (08:14:43:65:00:01:00:29:00:00:00:00:00:00:00:00) detected	errors	
"2020/12/20, 13:00:11.752650"	132529428117526498	_	_	_	_	_	_	_	_	0	0	118	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:01:21.671973"	132529428816719726	_	_	_	_	_	_	_	_	0	0	118	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:02:21.544878"	132529429415448777	_	_	_	_	_	_	_	_	0	0	118	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:03:56.985845"	132529430369858454	_	_	_	_	_	_	_	_	0	0	119	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:04:56.796350"	132529430967963504	_	_	_	_	_	_	_	_	0	0	119	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:08:12.451894"	132529432924518941	_	_	_	_	_	_	_	_	0	0	120	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:11:08.014602"	132529434680146024	_	_	_	_	_	_	_	_	0	0	121	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:13:03.626406"	132529435836264055	_	_	_	_	_	_	_	_	0	0	122	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:14:03.499311"	132529436434993107	_	_	_	_	_	_	_	_	0	0	122	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:21:39.488112"	132529440994881116	_	_	_	_	_	_	_	_	0	0	125	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:22:39.423417"	132529441594234168	_	_	_	_	_	_	_	_	0	0	125	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:24:10.652377"	132529442506523771	_	_	_	_	_	_	_	_	0	0	125	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:25:10.525282"	132529443105252822	_	_	_	_	_	_	_	_	0	0	125	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:27:12.221096"	132529444322210960	_	_	_	_	_	_	_	_	0	0	126	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:28:12.140801"	132529444921408012	_	_	_	_	_	_	_	_	0	0	126	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:29:11.904506"	132529445519045062	_	_	_	_	_	_	_	_	0	0	126	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:30:11.761811"	132529446117618113	_	_	_	_	_	_	_	_	0	0	126	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:31:11.634717"	132529446716347165	_	_	_	_	_	_	_	_	0	0	126	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:32:11.367221"	132529447313672214	_	_	_	_	_	_	_	_	0	0	126	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:33:11.255727"	132529447912557266	_	_	_	_	_	_	_	_	0	0	126	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/20, 13:34:11.097432"	132529448510974317	_	_	_	_	_	_	_	_	0	0	126	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
