Time	TimeStamp	ERR_CR	MCR_DISCNCT	MCR_WAIT	MCR_PWR	MCR_BRWN	MCR_SFTWR	MCR_EXTR	MCR_WTCHDG	BUS_RST	IMG_QFULL	IMG_BADFARME	FS_QFULL	Cam 0 (08:14:43:65:00:01:00:28:00:00:00:00:00:00:00:00) detected	errors	Cam 1 (08:14:43:65:00:01:00:27:00:00:00:00:00:00:00:00) detected	errors	Cam 2 (08:14:43:65:00:01:00:29:00:00:00:00:00:00:00:00) detected	errors	
"2020/12/16, 14:00:08.224804"	132526008082248039	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:01:08.254237"	132526008682542374	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:02:08.132662"	132526009281326622	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:03:08.163096"	132526009881630958	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:04:08.186529"	132526010481865289	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:05:08.212962"	132526011082129623	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:06:08.239396"	132526011682393956	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:07:08.263829"	132526012282638288	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:08:08.292262"	132526012882922622	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:09:08.170687"	132526013481706870	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:10:08.196120"	132526014081961203	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
"2020/12/16, 14:11:08.219554"	132526014682195535	_	_	_	_	_	_	_	_	0	0	0	0	X	0000000000000000000000	X	0000000000000000000000	X	0000000000000000000000	
